metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
Dimethylaminopurine	LDHB	0.379099556	0.404916363	0.028945225	0.168850758	0.025970834	0.230003402
Benzoate	LDHB	-0.221628996	-0.197069651	-0.006101456	0.087555837	0.029175886	0.248955576
N-Acetyl-L-alanine;Propionylglycine	LDHB	-0.342730482	-0.329845876	-0.035184013	0.138467748	0.033335589	0.272856051
Galactinol;Trehalose	LDHB	-0.212850804	-0.220262604	-0.032400805	0.089122534	0.035039243	0.282852847
Indole-3-acetic acid	LDHB	0.117110191	0.230959375	0.036589961	0.092714426	0.036043959	0.288034152
UDP-Glucuronate	LDHB	-0.425136502	-0.271163621	-0.01244129	0.125142959	0.038695142	0.303413739
L-Citrulline	LDHB	-0.238942841	-0.085868277	-0.014510994	0.034601218	0.039181408	0.30581377
L-alpha-Glycerophosphorylcholine	LDHB	-0.082142886	-0.233547796	0.133080602	0.180998971	0.042807558	0.323722652
2-Deoxyuridine	LDHB	-0.415734475	-0.304829585	-0.001343834	0.149900082	0.042909795	0.324096461
"3,3-Dimethylacrylic acid"	LDHB	-0.328377237	-0.297372058	-0.029881072	0.132535314	0.043563983	0.326762527
5-Methoxytryptamine	LDHB	0.423739419	0.402027243	0.04840221	0.175500936	0.043910234	0.328306527
4-Phenylbutanoic acid	LDHB	-0.192255348	-0.218250565	-0.016544143	0.100180175	0.044068728	0.328951023
Succinic acid;Methylmalonic acid	LDHB	-0.263441979	-0.130826995	-0.016001134	0.057052112	0.044151596	0.329362265
Cytidine	LDHB	0.477923654	0.372172373	0.054795943	0.157761189	0.044246057	0.329599613
2-Methylglutaric acid;3-Methylglutaric acid;Adipic acid	LDHB	-0.272729649	-0.113845614	-0.021002849	0.048415896	0.055160591	0.382549897
Acetoacetate;2-Ketobutyric acid	LDHB	-0.259662983	-0.118997322	-0.003236672	0.060659471	0.056343551	0.387663081
3-Methylglutaconic acid	LDHB	-0.282931047	-0.214298481	-0.012379775	0.105999007	0.056791602	0.389879092
2-Methylbutyrylglycine;Isovalerylglycine	LDHB	-0.224712051	-0.087371903	-0.017030827	0.037125832	0.058136578	0.395550204
Cytidine 5-diphosphocholine	LDHB	-0.200976734	-0.19144474	-0.024983564	0.089249641	0.062164765	0.411264369
2-Oxoadipic acid	LDHB	-0.216278773	-0.103335507	-0.02053504	0.044946826	0.065447776	0.424308611
3-Hydroxyanthranilic acid	LDHB	-0.24021463	-0.258157513	-0.026633082	0.126263217	0.066703751	0.428673645
Guanosine diphosphate mannose	LDHB	0.041757678	0.136838763	-0.022527179	0.087365766	0.068133413	0.434728521
DL-2-Amino-3-phosphonopropionic acid	LDHB	-0.247971626	-0.117546897	-0.015086768	0.0564972	0.069748037	0.440460591
DL-Mandelic acid	LDHB	-0.386794469	-0.400959247	0.009433928	0.226271808	0.069721204	0.440460591
L-Fucose	LDHB	-0.451431261	-0.27865529	-6.32E-04	0.153281105	0.069706374	0.440460591
2-Deoxyribose-5-phosphate	LDHB	-0.275402619	-0.262897291	-0.017012334	0.136954525	0.07259371	0.450565703
5-Hydroxy-L-tryptophan	LDHB	0.258899428	0.373061374	0.025080247	0.198649085	0.07981889	0.476576381
Cytidine-5-monophospho-N-acetylneuraminic acid	LDHB	-0.2830007	-0.197150639	-0.022955992	0.101242997	0.085330706	0.494339329
N-Formylanthranilic acid	LDHB	-0.254501956	-0.326658914	0.042432506	0.216062782	0.087588099	0.501290139
Phosphocreatine	LDHB	-0.314587328	-0.16966799	0.008635642	0.104388083	0.087620727	0.501340495
D-Ribose;D-Xylulose	LDHB	-0.397861655	-0.240386008	-0.010478227	0.135022753	0.088617931	0.504896138
4-Imidazoleacrylic acid	LDHB	0.005869342	0.118270885	0.031540443	0.050938402	0.088632958	0.504908452
Glutaric acid;Ethylmalonic acid	LDHB	-0.240628723	-0.122608176	-0.018057094	0.061613116	0.089716228	0.507891923
5-Phospho-D-ribose 1-diphosphate	LDHB	-0.647807841	0.520235354	0.090984727	0.253162246	0.0899701	0.508998583
Prostaglandin E2;Prostaglandin I2;Prostaglandin D2	LDHB	-0.244848715	-0.26088614	-0.041598358	0.129404277	0.090152362	0.509810444
2-Deoxycytidine 5-monophosphate	LDHB	-0.28085868	-0.263161871	-0.043486291	0.13079186	0.093038783	0.518993057
4-Pyridoxic acid	LDHB	-0.125242345	-0.2062153	0.014915121	0.131806109	0.093406698	0.520218058
6-Phosphogluconic acid	LDHB	-0.277764806	-0.620172499	0.060890324	0.410527095	0.097116591	0.532592488
Hypoxanthine	LDHB	0.048856854	0.152994668	0.004945742	0.089250431	0.097155396	0.532710895
D-Glucosamine 6-phosphate	LDHB	-0.315302672	-0.252175243	-0.032196548	0.13384421	0.100270666	0.542092151
D-Glutamic acid	LDHB	-0.256872074	-0.264779308	-0.056289382	0.127299788	0.101466154	0.545472587
Cadaverine	LDHB	-0.408066827	-0.294468098	-0.048758896	0.151809173	0.105546297	0.558280172
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	LDHB	-0.321141381	-0.260363352	-0.050101603	0.13476458	0.118709029	0.596994537
Uridine	LDHB	-0.358752731	-0.194803354	0.048285749	0.159366056	0.127171683	0.618564384
Deoxyadenosine monophosphate	LDHB	-0.203183441	-0.1968492	-0.03139963	0.109698588	0.13149831	0.629426137
