metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
N-Acetylmuramic acid	ALDOC	-0.218037423	0.131766685	-0.014754678	0.083162511	0.078091614	0.470211966
Hypoxanthine	ALDOC	-0.210614897	0.161392097	0.004945742	0.089250431	0.079620567	0.476094617
Uracil	ALDOC	-0.652166767	-0.178376043	0.01956782	0.115161187	0.08564318	0.495717233
Isobutyrylglycine	ALDOC	-0.274942247	0.059130464	-0.015638863	0.043635298	0.086619566	0.498773295
D-Fructose;D-Galactose;Myoinositol	ALDOC	-0.473065799	-0.194038499	-0.018372114	0.103198102	0.088713205	0.504928232
3-Sulfopyruvic acid	ALDOC	-0.353091251	0.590068042	0.18289104	0.24084133	0.090904774	0.512086228
N-Hexanoyl-glycine	ALDOC	-0.223498817	0.054796862	-0.022583864	0.046060096	0.092958311	0.518970868
D-Tagatose 6-phosphate	ALDOC	-0.606160218	-0.222352268	0.021405786	0.150340304	0.104937177	0.556962032
Guanosine 5-triphosphate	ALDOC	-2.427039863	-0.637301546	0.020550486	0.411069808	0.109522867	0.570013836
L-Saccharopine	ALDOC	-0.246737149	0.063869388	-0.011725174	0.047384662	0.11063663	0.573501047
"Adenosine 3,5-diphosphate"	ALDOC	-0.154550668	0.172408659	-0.024112987	0.123388279	0.111225446	0.574921981
5-Hydroxy-L-tryptophan	ALDOC	-0.076382586	0.339386983	0.025080247	0.198649085	0.113599148	0.582451978
Butyryl coenzyme A	ALDOC	0.153356036	0.257280857	-0.014470509	0.172428188	0.115019735	0.586798053
Thiamine monophosphate	ALDOC	-0.340786079	-0.148628987	0.020725544	0.107764585	0.116061202	0.589538917
L-Pyroglutamic acid;D-Pyroglutamic Acid	ALDOC	-0.28082643	0.055649267	-0.025269195	0.051851492	0.118622607	0.596829091
Ascorbate	ALDOC	-0.667588652	-0.545601457	-0.059774424	0.313454193	0.121162165	0.60342828
Propionyl coenzyme A	ALDOC	-1.405993409	-0.540754936	0.209956773	0.484866383	0.121553515	0.604009098
Sucrose;Isomaltose	ALDOC	-0.363561388	-0.213013399	-0.013266395	0.129163499	0.121991984	0.605289159
Dimethylaminopurine	ALDOC	0.153567836	0.289859885	0.028945225	0.168850758	0.12228863	0.606104143
L-Fucose	ALDOC	-0.323769046	0.23587204	-6.32E-04	0.153281105	0.12284474	0.607400918
L-Threonine	ALDOC	-0.249983034	0.053947529	-0.026316439	0.052101065	0.123427875	0.608796681
Phosphatidylcholine	ALDOC	-0.328018061	0.129813941	-0.007110933	0.089689796	0.126848211	0.617603155
3-Iodo-L-tyrosine	ALDOC	-0.011082106	0.097114096	-0.012390677	0.07247637	0.130813137	0.627605686
Biotin	ALDOC	-0.311518792	-0.100804861	0.008259173	0.072580161	0.132924151	0.632668804
Adenosine	ALDOC	-0.385287541	-0.151985612	-0.008392168	0.095876908	0.134215012	0.635663755
2-Methylbutyrylglycine;Isovalerylglycine	ALDOC	-0.268896581	0.038481517	-0.017030827	0.037125832	0.134849606	0.637406985
5-Phospho-D-ribose 1-diphosphate	ALDOC	-0.985379269	0.468490387	0.090984727	0.253162246	0.135919238	0.640811081
N2-Acetyl-L-lysine;N6-Acetyl-lysine	ALDOC	-0.268020274	0.033813658	-0.023681666	0.038857956	0.138972524	0.647816106
O-Phospho-L-serine	ALDOC	-0.497204284	-0.2403027	-0.041294091	0.134860229	0.140033669	0.650468976
(4R)-4-Hydroxy-L-glutamic acid	ALDOC	-0.327447552	0.13596596	5.26E-04	0.093739803	0.148500526	0.670421429
Thymine	ALDOC	-0.239416479	0.191792563	0.008990482	0.126654207	0.148931389	0.671373651
L-Aspartic acid;D-Aspartic acid	ALDOC	-0.117666854	0.086954149	-0.014485291	0.071685546	0.157050533	0.688875093
Guanidineacetic acid	ALDOC	-0.277134139	-0.093162444	0.003704289	0.068913589	0.159835205	0.695196196
L-Cysteine	ALDOC	-0.274315765	0.06829881	-0.030172168	0.070281816	0.161187891	0.696909076
Anthranilate	ALDOC	-0.34536026	-0.071208055	0.020082875	0.065268016	0.16190041	0.697929386
Octanoyl coenzyme A	ALDOC	-0.180675716	-0.316237602	0.043945927	0.26204507	0.169283455	0.71316196
"2,3-Dihydroxypropyl hexopyranoside"	ALDOC	-0.328922071	0.166355913	5.43E-04	0.124395528	0.182548667	0.73915773
L-Carnosine	ALDOC	-0.291320608	0.127315013	-6.03E-04	0.097492722	0.189494234	0.752172735
Pyridoxal	ALDOC	-0.287312811	-0.228928413	0.088695135	0.243427276	0.191961466	0.755892641
Pantothenic acid	ALDOC	-0.35418167	-0.084993727	5.96E-04	0.065696194	0.192640871	0.756962994
4-Hydroxyphenylacetylglycine	ALDOC	-0.114695931	0.014003783	-0.080647176	0.073300561	0.19660939	0.764231951
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	ALDOC	-0.31522282	-0.113088263	-0.010766489	0.079556421	0.198389475	0.766335615
D-Arabitol;Adonitol;D-Xylitol	ALDOC	-0.322909245	0.191859191	0.03784429	0.121675218	0.205589374	0.77902317
"D-myo-Inositol-1,4,5-triphosphate"	ALDOC	-0.911779387	0.306069176	0.022416839	0.224894265	0.207211672	0.781970657
Oxaloacetic acid	ALDOC	-0.362518942	-0.228698869	-0.022072659	0.164693926	0.209621332	0.785095155
L-Tyrosine	ALDOC	-0.179219158	0.120210479	-0.011081427	0.105738108	0.214358102	0.792503337
Tyramine	ALDOC	0.002551182	0.124377745	-0.02930305	0.124330556	0.216433967	0.79560237
Coenzyme A	ALDOC	-0.802058512	-0.638746821	0.101348374	0.599102681	0.216704186	0.795810615
Crotonoyl coenzyme A	ALDOC	-2.97970527	-1.17643586	0.091053791	1.029717337	0.218356424	0.797274125
3-Methoxytyramine	ALDOC	0.02020207	0.153097205	-0.022532631	0.144413985	0.223925757	0.805587451
D-Galactaric acid	ALDOC	-0.374772407	-0.093579819	-0.020963823	0.060736695	0.231857816	0.816232521
Xanthurenic acid	ALDOC	0.527406971	0.286408064	-0.009515436	0.247562386	0.231950624	0.816365654
D-Glucuronic acid	ALDOC	-0.331285987	0.018114052	-0.024862403	0.035990685	0.232439096	0.81708847
L-Histidine	ALDOC	-0.290400578	-0.086584835	-0.006338209	0.067509521	0.234569058	0.820422549
2-Deoxyguanosine	ALDOC	-0.106350852	0.256577829	0.036537707	0.188586439	0.243296577	0.83273524
D-Glucosamine	ALDOC	-0.331958604	-0.101744302	-0.019593399	0.070527724	0.244098758	0.83387862
Galactinol;Trehalose	ALDOC	-0.281495012	-0.13488887	-0.032400805	0.089122534	0.250157037	0.840316335
Hydroxypyruvate	ALDOC	-0.33844923	-0.078568285	-0.019179925	0.052231529	0.255529392	0.847209036
Pyridoxine;Norepinephrine	ALDOC	-0.061506789	0.126719514	0.040846127	0.076219039	0.25988379	0.852479499
2-Hydroxybutyric acid;(S)-3-Hydroxybutyric acid;(R)-3-Hydroxybutyric acid;(R)-3-Hydroxyisobutyric acid;(S)-3-Hydroxyisobutyric acid	ALDOC	-0.248474895	-0.147026769	-0.012908211	0.119296631	0.260909401	0.853111949
D-Sedoheptulose 7-phosphate	ALDOC	-0.176836905	0.115771225	-0.062820652	0.159708429	0.263465782	0.855874411
NAD	ALDOC	-0.10551232	0.1966405	-0.012554282	0.188752259	0.267730782	0.859350066
L-Cysteic acid	ALDOC	-0.184652484	0.041408115	-0.017460025	0.054629618	0.281218322	0.873917019
DL-Homocystine	ALDOC	-0.366079429	-0.107846078	-0.005670234	0.094870591	0.281479243	0.87411704
Cyclic AMP	ALDOC	-0.023828973	0.129647874	-0.008478362	0.12832702	0.281765713	0.874259671
Xanthine	ALDOC	-0.028726516	0.260575656	0.081799141	0.167426665	0.285615258	0.877165567
Uridine 5-triphosphate	ALDOC	-1.331015775	-0.274409383	-0.008674552	0.260957409	0.308531947	0.898017882
L-Kynurenine	ALDOC	-0.255695454	-0.038107995	0.031002795	0.068005265	0.309507281	0.898118768
Phosphatidic Acid	ALDOC	0.188535302	0.338391119	0.066339581	0.272198185	0.317571302	0.906874665
L-Gulonic acid gamma-lactone	ALDOC	-0.273090052	-0.179469062	-0.037623141	0.142738174	0.320345073	0.908104623
D-Glucose;D-Mannose	ALDOC	-0.525605536	-0.121327473	0.007293217	0.129706474	0.321378578	0.908744692
Guanosine diphosphate mannose	ALDOC	-0.38527345	-0.10784375	-0.022527179	0.087365766	0.328794636	0.914808294
2-Oxo-4-methylthiobutanoic acid	ALDOC	-0.089223873	-0.078789416	0.051752479	0.135898149	0.336760239	0.922643422
"3,4-Dihydroxyphenylacetic acid"	ALDOC	-0.22789126	-0.183637029	-0.007108282	0.184611494	0.338962347	0.924725017
N-Acetylneuraminic acid	ALDOC	-0.278133113	0.026017021	-0.020004711	0.048828258	0.345925198	0.931002575
Cytidine 5-diphosphocholine	ALDOC	-0.208254317	-0.106531617	-0.024983564	0.089249641	0.360870643	0.943709926
2-Deoxyuridine	ALDOC	-0.480636966	-0.136228649	-0.001343834	0.149900082	0.368209929	0.94781341
Betaine aldehyde	ALDOC	-0.385029121	0.079462773	-0.04639906	0.1399977	0.368637819	0.947833172
2-Oxoadipic acid	ALDOC	-0.233008045	0.019774426	-0.02053504	0.044946826	0.369811955	0.949367466
1-Methylhistamine	ALDOC	-0.27807462	0.091553608	-0.031966636	0.138148192	0.371260858	0.949877638
N-Glycolylneuraminic acid	ALDOC	-0.288670045	0.028693482	-0.014467026	0.048605071	0.374549551	0.952228622
Glyoxylate	ALDOC	-0.108092891	0.07903304	0.002402196	0.088620717	0.387200308	0.959471339
L-Tryptophan	ALDOC	-0.083596641	-0.069961029	0.009684947	0.093063912	0.392097237	0.96194246
Phosphocreatine	ALDOC	-0.3807161	0.097983669	0.008635642	0.104388083	0.392041084	0.96194246
2-Deoxyadenosine	ALDOC	-0.365353694	0.024728323	-0.100487226	0.149000353	0.400700505	0.966243769
2-Hydroxyphenylacetic acid;4-Hydroxyphenylacetic acid	ALDOC	-0.194049683	0.045594594	-0.016099123	0.073801145	0.403185703	0.967219949
DL-Mandelic acid	ALDOC	-0.15101177	-0.178780184	0.009433928	0.226271808	0.405518794	0.968117231
D-Gluconic acid	ALDOC	-0.348187834	-0.065016578	-0.024717419	0.049408225	0.414707986	0.972997494
Phosphocholine	ALDOC	-0.375156773	-0.041493994	0.016990822	0.071721847	0.414820874	0.973032821
4-Guanidinobutyric acid	ALDOC	-0.137527589	-0.056280595	0.033210575	0.111543335	0.422379691	0.975262177
L-Glutamic acid	ALDOC	-0.303942503	-0.060664669	-0.010400595	0.06264753	0.422361343	0.975262177
2-Ethylhydracrylic acid	ALDOC	-0.183815388	-0.115311047	-0.014736537	0.126043819	0.424909431	0.976404344
L-Serine;D-Serine	ALDOC	-0.278746604	0.035094539	-0.014050661	0.061947159	0.427579366	0.977648114
D-Cellobiose	ALDOC	-0.325915373	-0.079326531	-0.02933045	0.06426952	0.436620434	0.982844819
Betaine	ALDOC	-0.51745482	-0.206079535	-0.074082033	0.170075222	0.437682578	0.982900037
L-Proline;D-Proline	ALDOC	-0.272875772	0.024565944	-0.014428698	0.050138914	0.436726976	0.982900037
L-Arabitol;2-Deoxy-D-ribonic acid	ALDOC	-0.174312084	-0.105328422	-0.027452492	0.101742004	0.444018179	0.985429303
UDP-GlcNAc;UDP-GalNAc	ALDOC	-0.332779998	-0.094164914	-0.025156044	0.09045254	0.445505712	0.986017988
2-Deoxycytidine 5-diphosphate	ALDOC	-0.237477797	0.054257321	-0.038301044	0.122482215	0.449836154	0.988433023
Biocytin	ALDOC	-0.198172952	0.021164366	-0.01751799	0.051332463	0.451110365	0.989603251
Uric acid	ALDOC	0.084655603	0.272650723	0.136218273	0.184246932	0.459004575	0.991596522
N-Acetyl-L-alanine;Propionylglycine	ALDOC	-0.251279529	-0.13769289	-0.035184013	0.138467748	0.459112712	0.991684773
D-3-Phosphoglyceric acid	ALDOC	-0.095571177	0.101270129	-0.012775794	0.156699583	0.466736155	0.994325466
3-Methylglutaconic acid	ALDOC	-0.175631109	0.063720597	-0.012379775	0.105999007	0.472797516	0.995278823
N-2-Furoylglycine	ALDOC	-0.257839828	0.057406417	0.019518066	0.053054663	0.475141854	0.99637758
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	ALDOC	-0.087952672	0.044986111	-0.050101603	0.13476458	0.480446954	0.997629113
Pyridoxal 5-phosphate	ALDOC	0.035002515	0.449427946	0.067792806	0.539884545	0.479639266	0.997629113
4-Phenylbutanoic acid	ALDOC	-0.122190881	-0.086624156	-0.016544143	0.100180175	0.484214795	0.998587827
1-Methylnicotinamide	ALDOC	-0.216947213	0.03419354	0.007635251	0.0491359	0.58884757	0.99999496
"1,3-Diaminopropane"	ALDOC	-0.160456183	0.027566428	0.00580828	0.158470022	0.890792602	0.99999496
2-Aminoadipic acid	ALDOC	-0.354214161	-0.031015935	-0.014234918	0.05435813	0.757540473	0.99999496
2-Deoxyuridine 5-monophosphate	ALDOC	-0.005720837	6.78E-04	-0.049836779	0.167448737	0.762902798	0.99999496
"2,3-Dihydroxypropanoic acid"	ALDOC	-0.140572514	-0.080772273	-0.035659738	0.129012058	0.7265812	0.99999496
"2,3-Pyridinedicarboxylic acid"	ALDOC	-0.227197482	0.014918598	-0.05253562	0.165564564	0.683699969	0.99999496
"2,5-Dihydroxybenzaldehyde;4-Hydroxybenzoic acid"	ALDOC	0.110576928	-0.013791008	0.033614555	0.148990867	0.750350189	0.99999496
"2,5-Dihydroxybenzoic acid"	ALDOC	0.131667679	0.059547649	0.035933846	0.166036749	0.886905966	0.99999496
3-Furoic acid	ALDOC	-0.332980845	0.001271319	-0.03282869	0.192228895	0.859199917	0.99999496
3-Hydroxy-3-methylglutaric acid	ALDOC	-0.128497016	-0.056607691	-0.002764622	0.140421561	0.701394474	0.99999496
3-Hydroxy-DL-kynurenine	ALDOC	-0.077915149	0.0469399	0.048049801	0.114937739	0.992295317	0.99999496
3-Hydroxyanthranilic acid	ALDOC	-0.108162128	-0.094903131	-0.026633082	0.126263217	0.588716958	0.99999496
3-Hydroxybutyryl coenzyme A	ALDOC	-0.553736372	0.060218047	0.06030788	0.335211973	0.999786177	0.99999496
3-methyl-2-oxobutyrate	ALDOC	-0.262843823	0.01196333	-0.01089795	0.047975898	0.633706851	0.99999496
3-Methyl-2-oxovaleric acid;4-Methyl-2-oxovaleric acid	ALDOC	-0.251321122	-0.003904397	0.00165696	0.045073457	0.901802793	0.99999496
"3,3-Dimethylacrylic acid"	ALDOC	-0.212613309	-0.070249439	-0.029881072	0.132535314	0.760681679	0.99999496
4-Imidazoleacrylic acid	ALDOC	-0.250868416	0.01166463	0.031540443	0.050938402	0.696393754	0.99999496
4-Pyridoxic acid	ALDOC	-0.010788492	-0.074399279	0.014915121	0.131806109	0.498012926	0.99999496
"4,6-Dioxoheptanoic acid"	ALDOC	-0.265938382	0.027608228	-0.008295577	0.055220985	0.515573329	0.99999496
5-Methoxytryptamine	ALDOC	0.037492328	0.031438143	0.04840221	0.175500936	0.922995742	0.99999496
5-Methyltetrahydrofolic acid	ALDOC	-0.106309824	0.058298307	0.011264558	0.152168575	0.757253244	0.99999496
6-Deoxy-L-galactonic acid	ALDOC	-0.189186607	-0.118098814	-0.026453834	0.144370831	0.5255662	0.99999496
Acetoacetate;2-Ketobutyric acid	ALDOC	-0.285718743	-0.037391164	-0.003236672	0.060659471	0.573398854	0.99999496
Acetylamino-acetic acid	ALDOC	-0.203234239	-0.104564363	-0.040650891	0.162734919	0.694507164	0.99999496
Acetylcholine	ALDOC	-0.42794732	-0.010588429	-0.010488324	0.102556565	0.999221186	0.99999496
Adenosine monophosphate	ALDOC	0.116168798	-0.05845016	-0.005934305	0.253751087	0.836042544	0.99999496
Adenosine triphosphate;Deoxyguanosine triphosphate	ALDOC	-0.82280521	0.051102438	-0.015531587	0.242262009	0.783278269	0.99999496
Adenylosuccinic acid	ALDOC	-0.065203053	-0.116835194	-0.020366598	0.152018329	0.525698918	0.99999496
Agmatine	ALDOC	-0.313882298	-0.029826313	0.019330203	0.114865106	0.668687568	0.99999496
AICAR	ALDOC	-0.190069187	-0.054125909	-0.071418722	0.121216151	0.886557947	0.99999496
Benzoate	ALDOC	-0.071317445	-0.002030006	-0.006101456	0.087555837	0.962910787	0.99999496
Betaine aldehyde hydrate	ALDOC	-0.378939497	0.041006733	-0.035201366	0.123751297	0.538015588	0.99999496
Cadaverine	ALDOC	-0.237116494	0.005630444	-0.048758896	0.151809173	0.720137973	0.99999496
CDP-Glycerol	ALDOC	-0.41743739	0.034953071	0.023606017	0.077284116	0.883272053	0.99999496
Choline	ALDOC	-0.256226518	0.03834677	-0.042516728	0.177924003	0.649480965	0.99999496
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	ALDOC	-0.29487591	-0.014446548	-0.010846986	0.040325383	0.928872948	0.99999496
Citramalic acid;D-2-Hydroxyglutaric acid;L-2-Hydroxyglutaric acid;3-Hydroxyglutaric acid	ALDOC	-0.220529026	-0.022295685	-0.00799668	0.128426344	0.911346639	0.99999496
Citric acid;Isocitric acid	ALDOC	-0.4424831	-0.072255541	-0.041302577	0.192391459	0.872183714	0.99999496
Creatine	ALDOC	-0.249228853	-0.039710624	-6.85E-04	0.075782282	0.606572067	0.99999496
Cytidine-5-monophospho-N-acetylneuraminic acid	ALDOC	-0.342348537	-0.090389602	-0.022955992	0.101242997	0.505374655	0.99999496
Cytidine 5-triphosphate	ALDOC	-1.573341849	0.03021806	0.063793588	0.145415254	0.817397051	0.99999496
D-Arabinonic acid	ALDOC	-0.305111388	0.007467598	-0.018129999	0.043661121	0.55768807	0.99999496
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	ALDOC	-0.895514331	-0.119188207	-0.035118689	0.151155875	0.578089423	0.99999496
"D-Glucurono-6,3-lactone"	ALDOC	-0.318441815	-0.041828101	-0.021321049	0.057951198	0.723438104	0.99999496
D-Glutamic acid	ALDOC	-0.112285382	-0.062645043	-0.056289382	0.127299788	0.960180782	0.99999496
D-Glyceraldehyde;L-Lactic acid;3-Hydroxypropionic acid	ALDOC	-0.285274088	0.003629037	-0.009653426	0.046087987	0.773195227	0.99999496
D-Saccharic acid	ALDOC	-0.33528395	-0.057952833	-0.055031365	0.140712239	0.983435512	0.99999496
D-Sorbitol	ALDOC	-0.383273187	0.014938996	7.22E-04	0.114219835	0.900941056	0.99999496
Decanoic acid	ALDOC	-0.010308832	-0.09315848	-0.043007715	0.176035116	0.77572789	0.99999496
Dehydroascorbic acid;cis-Aconitic acid	ALDOC	-0.347717569	0.01053516	-0.033716657	0.201705963	0.826348015	0.99999496
Deoxyadenosine monophosphate	ALDOC	-0.088289538	-0.058764372	-0.03139963	0.109698588	0.803009685	0.99999496
Dihydrouracil	ALDOC	-0.261807111	0.025426235	0.022889703	0.062980514	0.967873991	0.99999496
"DL-3,4-Dihydroxyphenyl glycol"	ALDOC	-0.390282119	-0.045546434	-0.018521765	0.078501719	0.730653947	0.99999496
Dodecanedioic acid	ALDOC	-0.160862232	-0.094249077	-0.044001394	0.116647631	0.666639462	0.99999496
Dulcitol	ALDOC	-0.332830807	-0.083320266	-0.003208425	0.122328675	0.512538499	0.99999496
Epinephrine	ALDOC	-0.234273291	0.028586788	-0.035947243	0.096559437	0.503919912	0.99999496
Flavin adenine dinucleotide	ALDOC	-0.040013681	-0.065589996	-0.080468684	0.138951725	0.914727014	0.99999496
Folic acid	ALDOC	0.241309686	0.251143041	0.086331984	0.293610092	0.574575137	0.99999496
Folinic acid	ALDOC	-0.16136652	-0.033277392	-0.020848435	0.159834998	0.938018034	0.99999496
Glutaconic acid	ALDOC	-0.229772339	0.021905939	-0.026259707	0.138229618	0.727504783	0.99999496
Glutathione disulfide	ALDOC	-0.987595839	0.25978641	0.015443674	0.436802164	0.575895626	0.99999496
Glycerol 3-phosphate	ALDOC	-0.317592248	0.003224795	8.02E-04	0.056213567	0.965615172	0.99999496
Glycolic acid	ALDOC	-0.291071579	0.024610316	-0.007505033	0.06564256	0.624667664	0.99999496
Histamine	ALDOC	-0.137108087	0.036578375	-0.005089456	0.092997917	0.654116224	0.99999496
Indole-3-pyruvic acid	ALDOC	-0.015931774	0.042334949	0.010093998	0.260445045	0.901480156	0.99999496
Isovaleryl coenzyme A	ALDOC	0.046981244	0.21010992	0.051184798	0.280246696	0.57065298	0.99999496
Ketoglutaric acid	ALDOC	-0.321952998	-0.05882497	-0.033989083	0.213260214	0.907289462	0.99999496
L-Alanine;Beta-alanine	ALDOC	-0.217992489	-0.028362845	-0.003541331	0.086507579	0.774166861	0.99999496
L-Asparagine;Ureidopropionic acid	ALDOC	-0.341101483	-0.003819187	-0.007455051	0.072932859	0.960240156	0.99999496
L-Citrulline	ALDOC	-0.298378157	0.004664866	-0.014510994	0.034601218	0.579444644	0.99999496
L-Fucose 1-phosphate	ALDOC	-0.445595689	-0.091961117	-0.049031861	0.129789255	0.740824836	0.99999496
L-Leucine;L-Isoleucine;L-Alloisoleucine	ALDOC	-0.280978576	-0.004610331	-0.03123773	0.06399667	0.677355303	0.99999496
L-Methionine	ALDOC	-0.132245798	-0.044561283	-0.045012814	0.115735855	0.996887146	0.99999496
L-Ornithine;D-Ornithine	ALDOC	-0.341543069	0.060236681	0.011362401	0.147431071	0.740262334	0.99999496
L-Pipecolic acid	ALDOC	-0.32436446	0.009358022	-0.010854432	0.052980303	0.702825713	0.99999496
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	ALDOC	-0.256321119	-0.013407004	-0.003311502	0.057926651	0.861644801	0.99999496
Maleic acid	ALDOC	-0.240251523	-0.074761479	-0.023219903	0.118324413	0.663130276	0.99999496
N-Acetyl-5-hydroxytryptamine	ALDOC	0.090491266	0.053649446	-0.004171024	0.106494025	0.58716721	0.99999496
N-Acetyl-Asp-Glu	ALDOC	-0.333289473	-6.31E-04	-0.053474939	0.139424324	0.70467828	0.99999496
N-Acetyl-D-glucosamine 6-phosphate	ALDOC	-0.322536777	0.032049075	-0.004095949	0.053648556	0.500478443	0.99999496
N-Acetyl-L-aspartate	ALDOC	-0.28169851	-0.057561204	-0.039344858	0.160675835	0.909734623	0.99999496
N-Acetyl-L-glutamic acid	ALDOC	-0.264208074	-0.06260146	-0.056982241	0.132705701	0.966224901	0.99999496
N-Formylanthranilic acid	ALDOC	-0.016600559	-0.106348265	0.042432506	0.216062782	0.491075198	0.99999496
"N,N-Diacetylchitobiose"	ALDOC	-0.251006385	0.054330919	-0.006212403	0.095535725	0.526260686	0.99999496
NADH	ALDOC	-1.05732814	0.045473309	0.088878397	0.887064184	0.960974149	0.99999496
NADP	ALDOC	-0.430655493	0.058328082	0.010085447	0.178203043	0.786608519	0.99999496
NADPH	ALDOC	-1.287870368	-0.182475582	0.039772156	0.509342196	0.662588122	0.99999496
Nicotinamide	ALDOC	-0.329503541	-0.012215273	0.019536423	0.061070053	0.603117583	0.99999496
Nicotinamide hypoxanthine dinucleotide	ALDOC	-0.359119207	-0.009133079	-0.002544117	0.127401437	0.958753302	0.99999496
Nicotinic acid	ALDOC	-0.258070255	0.047855281	0.018326192	0.08123791	0.716239608	0.99999496
O-Phosphorylethanolamine	ALDOC	-0.3446903	-0.040344582	-0.023504711	0.122517487	0.890676129	0.99999496
Octanoic acid	ALDOC	-0.110580667	-0.052300404	-0.027450138	0.126921513	0.844772664	0.99999496
Orotic acid	ALDOC	-0.126215292	0.001166424	-0.04158727	0.144778741	0.767761912	0.99999496
Phenylpyruvate	ALDOC	-0.100662227	-0.058387006	-0.010923599	0.112818704	0.67397042	0.99999496
Phosphatidylethanolamine	ALDOC	-0.10500639	-0.004069725	-0.002169088	0.192367098	0.992116823	0.99999496
Phosphatidylglycerol	ALDOC	-0.068858487	0.16370402	0.031228628	0.195335149	0.497647832	0.99999496
Phosphatidylserine	ALDOC	-0.08010306	0.098493404	0.017773673	0.166275937	0.627352576	0.99999496
Prostaglandin E2;Prostaglandin I2;Prostaglandin D2	ALDOC	-0.09453518	-0.094743034	-0.041598358	0.129404277	0.681301937	0.99999496
Putrescine	ALDOC	-0.170549714	-0.002565411	-0.054179268	0.248852584	0.835691737	0.99999496
Pyridoxamine	ALDOC	-0.151886098	-0.011540888	0.035489962	0.113624747	0.678937236	0.99999496
Pyridoxamine-5-phosphate	ALDOC	-0.255483594	-0.05438868	-0.042706714	0.057552062	0.839150014	0.99999496
Pyruvate	ALDOC	-0.289494256	-0.047690967	-0.013880068	0.057725654	0.558065679	0.99999496
Riboflavin	ALDOC	-0.026790047	-0.072894799	0.03668807	0.202232443	0.587910874	0.99999496
S-(5-Adenosyl)-L-methionine	ALDOC	-0.357636794	0.071767676	0.002591492	0.241252861	0.774313507	0.99999496
Stachyose	ALDOC	-0.291979981	0.014962761	-0.018627558	0.063061052	0.594266564	0.99999496
Taurine	ALDOC	-0.286462203	0.021510692	0.002624787	0.046158441	0.682426735	0.99999496
Thiamine	ALDOC	-0.159799041	0.00578956	0.00926001	0.210549006	0.986849176	0.99999496
Thiamine pyrophosphate	ALDOC	-0.320635934	-0.010353659	-0.010121686	0.081379168	0.997725623	0.99999496
Thymidine	ALDOC	-0.497448452	-0.097934486	-0.054789839	0.179453762	0.810003062	0.99999496
Thymidine monophosphate	ALDOC	-0.126044763	5.10E-04	-0.053188984	0.127179154	0.672858929	0.99999496
Trans-beta-Hydromuconic acid	ALDOC	-0.208104212	0.005801118	0.004821182	0.057538018	0.986411796	0.99999496
Uridine 5-diphosphate	ALDOC	-0.465988934	0.039317613	-0.00439847	0.17893483	0.806988509	0.99999496
Pyruvate	CS	0.496222757	0.540246303	-0.013880068	0.057725654	8.05E-22	1.29E-19
3-Phosphoadenosine 5-phosphosulfate	CS	0.63233764	0.691107912	-0.024272822	0.154862688	3.85E-06	1.42E-04
Coenzyme A	CS	3.748430641	2.407302634	0.101348374	0.599102681	1.19E-04	0.00298409
3-Hydroxybutyryl coenzyme A	CS	0.11754539	0.983856684	0.06030788	0.335211973	0.005867083	0.076125946
Dephosphocoenzyme A	CS	2.551042671	1.538021662	-0.048616423	0.582845242	0.006484324	0.082188921
Citramalic acid;D-2-Hydroxyglutaric acid;L-2-Hydroxyglutaric acid;3-Hydroxyglutaric acid	CS	0.253765728	0.34125259	-0.00799668	0.128426344	0.00653902	0.082702882
Citric acid;Isocitric acid	CS	0.35664213	0.478097658	-0.041302577	0.192391459	0.006940093	0.086568526
3-Furoic acid	CS	0.334212841	0.474476343	-0.03282869	0.192228895	0.008313442	0.099841007
L-Malic acid	CS	0.111322707	0.270546033	-0.07870677	0.14332361	0.014817349	0.153827941
PIP3	CS	-1.433196374	-0.759990891	0.022731055	0.33548432	0.019642353	0.188829304
Thiamine	CS	0.36925415	0.484619315	0.00926001	0.210549006	0.023963535	0.217607428
D-3-Phosphoglyceric acid	CS	0.082466933	0.33741138	-0.012775794	0.156699583	0.0254326	0.226943283
Dehydroascorbic acid;cis-Aconitic acid	CS	0.247532979	0.416510905	-0.033716657	0.201705963	0.025608459	0.227802012
3-Hydroxy-3-methylglutaryl coenzyme A	CS	0.206743847	0.313438975	-0.005737226	0.145384315	0.028135176	0.243071289
Glutaconic acid	CS	0.128478454	0.263589705	-0.026259707	0.138229618	0.036005166	0.288010722
Maleic acid	CS	0.110436871	0.224236208	-0.023219903	0.118324413	0.03649795	0.290558807
"Adenosine 3,5-diphosphate"	CS	0.173593017	0.228142766	-0.024112987	0.123388279	0.040913443	0.314894657
D-Glutamic acid	CS	0.179850675	0.194685478	-0.056289382	0.127299788	0.048663727	0.351553238
Diadenosine triphosphate	CS	0.369220488	0.559576623	0.008690444	0.293310506	0.060358292	0.40475289
L-Methionine	CS	0.064737435	0.166985579	-0.045012814	0.115735855	0.066989653	0.430038261
